"PROV_T","PROV","PROV_AREA","YEAR","forest_area"
"สมุทรปราการ","Samut Prakan",592001.82,2017,13626.08
"สมุทรปราการ","Samut Prakan",592001.82,2018,13860.24
"สมุทรปราการ","Samut Prakan",592001.82,2019,17660.3
"สมุทรปราการ","Samut Prakan",592001.82,2020,17961.46
"สมุทรปราการ","Samut Prakan",592001.82,2021,17454.34
"สมุทรปราการ","Samut Prakan",592001.82,2022,17393
"นนทบุรี","Nonthaburi",398013.7,2017,0
"นนทบุรี","Nonthaburi",398013.7,2018,0
"นนทบุรี","Nonthaburi",398013.7,2019,0
"นนทบุรี","Nonthaburi",398013.7,2020,0
"นนทบุรี","Nonthaburi",398013.7,2021,0
"นนทบุรี","Nonthaburi",398013.7,2022,0
"ปทุมธานี","Pathum Thani",950264.31,2017,0
"ปทุมธานี","Pathum Thani",950264.31,2018,0
"ปทุมธานี","Pathum Thani",950264.31,2019,0
"ปทุมธานี","Pathum Thani",950264.31,2020,0
"ปทุมธานี","Pathum Thani",950264.31,2021,0
"ปทุมธานี","Pathum Thani",950264.31,2022,0
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2017,0
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2018,28.6
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2019,28.6
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2020,28.6
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2021,28.6
"พระนครศรีอยุธยา","Phra Nakhon Si Ayutthaya",1592367.35,2022,25
"อ่างทอง","Ang Thong",593996.89,2017,0
"อ่างทอง","Ang Thong",593996.89,2018,0
"อ่างทอง","Ang Thong",593996.89,2019,0
"อ่างทอง","Ang Thong",593996.89,2020,0
"อ่างทอง","Ang Thong",593996.89,2021,0
"อ่างทอง","Ang Thong",593996.89,2022,0
"ลพบุรี","Lopburi",4058095.84,2017,594530.59
"ลพบุรี","Lopburi",4058095.84,2018,599955.13
"ลพบุรี","Lopburi",4058095.84,2019,601510.15
"ลพบุรี","Lopburi",4058095.84,2020,602604.36
"ลพบุรี","Lopburi",4058095.84,2021,605125.5
"ลพบุรี","Lopburi",4058095.84,2022,612735
"สิงห์บุรี","Sing Buri",510716.51,2017,265.19
"สิงห์บุรี","Sing Buri",510716.51,2018,265.19
"สิงห์บุรี","Sing Buri",510716.51,2019,265.19
"สิงห์บุรี","Sing Buri",510716.51,2020,265.19
"สิงห์บุรี","Sing Buri",510716.51,2021,288.865
"สิงห์บุรี","Sing Buri",510716.51,2022,447
"ชัยนาท","Chai Nat",1566366.39,2017,39648.9
"ชัยนาท","Chai Nat",1566366.39,2018,40092.5
"ชัยนาท","Chai Nat",1566366.39,2019,40158.27
"ชัยนาท","Chai Nat",1566366.39,2020,40248.75
"ชัยนาท","Chai Nat",1566366.39,2021,40166.52
"ชัยนาท","Chai Nat",1566366.39,2022,40781
"สระบุรี","Saraburi",2186994.18,2017,522978.82
"สระบุรี","Saraburi",2186994.18,2018,522573.34
"สระบุรี","Saraburi",2186994.18,2019,529689.38
"สระบุรี","Saraburi",2186994.18,2020,532568.92
"สระบุรี","Saraburi",2186994.18,2021,532016.71
"สระบุรี","Saraburi",2186994.18,2022,534855
"ชลบุรี","Chonburi",2817515.03,2017,338690.62
"ชลบุรี","Chonburi",2817515.03,2018,340127.01
"ชลบุรี","Chonburi",2817515.03,2019,344460.86
"ชลบุรี","Chonburi",2817515.03,2020,343785.95
"ชลบุรี","Chonburi",2817515.03,2021,343072.7
"ชลบุรี","Chonburi",2817515.03,2022,342276
"ระยอง","Rayong",2291003.8,2017,182892.55
"ระยอง","Rayong",2291003.8,2018,185410.63
"ระยอง","Rayong",2291003.8,2019,182555.04
"ระยอง","Rayong",2291003.8,2020,181323.04
"ระยอง","Rayong",2291003.8,2021,181483.36
"ระยอง","Rayong",2291003.8,2022,180768
"จันทบุรี","Chanthaburi",4009602.07,2017,1300524.6
"จันทบุรี","Chanthaburi",4009602.07,2018,1302219.9
"จันทบุรี","Chanthaburi",4009602.07,2019,1297317.36
"จันทบุรี","Chanthaburi",4009602.07,2020,1298910.63
"จันทบุรี","Chanthaburi",4009602.07,2021,1297727.59
"จันทบุรี","Chanthaburi",4009602.07,2022,1292696
"ตราด","Trat",1791577.83,2017,560121.87
"ตราด","Trat",1791577.83,2018,560057.66
"ตราด","Trat",1791577.83,2019,561797.43
"ตราด","Trat",1791577.83,2020,561557.34
"ตราด","Trat",1791577.83,2021,559942.95
"ตราด","Trat",1791577.83,2022,557294
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2017,498413.21
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2018,500504.07
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2019,502217.86
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2020,501352.42
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2021,501042.39
"ฉะเชิงเทรา","Chachoengsao",3230873.49,2022,500681
"ปราจีนบุรี","Prachin Buri",3140982.59,2017,864060.81
"ปราจีนบุรี","Prachin Buri",3140982.59,2018,897670.76
