"PROV","AMP","MAE"
"Amnat Charoen","Chanuman",0.115177223315069
"Amnat Charoen","Hua Taphan",0.0957130459875387
"Amnat Charoen","Lue Amnat",0.130130290985107
"Amnat Charoen","Mueang Amnat Charoen",0.222672228272118
"Amnat Charoen","Pathum Ratchawongsa",0.0779206671498039
"Amnat Charoen","Phana",0.0714546877902757
"Amnat Charoen","Senangkhanikhom",0.104383072116804
"Ang Thong","Chaiyo",0.00160439208108007
"Ang Thong","Mueang Ang Thong",0.00160439208108007
"Ang Thong","Pa Mok",0.00160439208108007
"Ang Thong","Pho Thong",0.00160439208108007
"Ang Thong","Samko",0.00160439208108007
"Ang Thong","Sawaeng Ha",0.00160439208108007
"Ang Thong","Wiset Chai Chan",0.00160439208108007
"Bangkok","Bang Bon",0.00160439208108007
"Bangkok","Bang Kapi",0.00160439208108007
"Bangkok","Bang Khae",0.00160439208108007
"Bangkok","Bang Khen",0.00160439208108007
"Bangkok","Bang Kho Laem",0.00160439208108007
"Bangkok","Bang Khun Thian",0.00160439208108007
"Bangkok","Bang Na",0.00160439208108007
"Bangkok","Bang Phlat",0.00160439208108007
"Bangkok","Bang Rak",0.00160439208108007
"Bangkok","Bang Sue",0.00160439208108007
"Bangkok","Bangkok Noi",0.00160439208108007
"Bangkok","Bangkok Yai",0.00160439208108007
"Bangkok","Bueng Kum",0.00160439208108007
"Bangkok","Chatuchak",0.00160439208108007
"Bangkok","Chom Thong",0.00160439208108007
"Bangkok","Din Daeng",0.00160439208108007
"Bangkok","Don Mueang",0.00160439208108007
"Bangkok","Dusit",0.00160439208108007
"Bangkok","Huai Khwang",0.00160439208108007
"Bangkok","Khan Na Yao",0.00160439208108007
"Bangkok","Khlong Sam Wa",0.00160439208108007
"Bangkok","Khlong San",0.00160439208108007
"Bangkok","Khlong Toei",0.00160439208108007
"Bangkok","Lak Si",0.00160439208108007
"Bangkok","Lat Krabang",0.00160439208108007
"Bangkok","Lat Phrao",0.00160439208108007
"Bangkok","Min Buri",0.00160439208108007
"Bangkok","Nong Chok",0.00160439208108007
"Bangkok","Nong Khaem",0.00160439208108007
"Bangkok","Pathum Wan",0.00160439208108007
"Bangkok","Phasi Charoen",0.00160439208108007
"Bangkok","Phaya Thai",0.00160439208108007
"Bangkok","Phra Khanong",0.00160439208108007
"Bangkok","Phra Nakhon",0.00160439208108007
