"PROV","AMP","Actual_mean","Pred_mean"
"Amnat Charoen","Chanuman",0.168155321707555,0.1585355238481
"Amnat Charoen","Hua Taphan",0.04804437763073,0.115596933798357
"Amnat Charoen","Lue Amnat",0,0.130130290985107
"Amnat Charoen","Mueang Amnat Charoen",0.216199699338285,0.148904567415064
"Amnat Charoen","Pathum Ratchawongsa",0.04804437763073,0.0779206671498039
"Amnat Charoen","Phana",0.024022188815365,0.0954768766056407
"Amnat Charoen","Senangkhanikhom",0.09608875526146,0.0566102970730175
"Ang Thong","Chaiyo",0,0
"Ang Thong","Mueang Ang Thong",0,0
"Ang Thong","Pa Mok",0,0
"Ang Thong","Pho Thong",0,0
"Ang Thong","Samko",0,0
"Ang Thong","Sawaeng Ha",0,0
"Ang Thong","Wiset Chai Chan",0,0
"Bangkok","Bang Bon",0,0
"Bangkok","Bang Kapi",0,0
"Bangkok","Bang Khae",0,0
"Bangkok","Bang Khen",0,0
"Bangkok","Bang Kho Laem",0,0
"Bangkok","Bang Khun Thian",0,0
"Bangkok","Bang Na",0,0
"Bangkok","Bang Phlat",0,0
"Bangkok","Bang Rak",0,0
"Bangkok","Bang Sue",0,0
"Bangkok","Bangkok Noi",0,0
"Bangkok","Bangkok Yai",0,0
"Bangkok","Bueng Kum",0,0
"Bangkok","Chatuchak",0,0
"Bangkok","Chom Thong",0,0
"Bangkok","Din Daeng",0,0
"Bangkok","Don Mueang",0,0
"Bangkok","Dusit",0,0
"Bangkok","Huai Khwang",0,0
"Bangkok","Khan Na Yao",0,0
"Bangkok","Khlong Sam Wa",0,0
"Bangkok","Khlong San",0,0
"Bangkok","Khlong Toei",0,0
"Bangkok","Lak Si",0,0
"Bangkok","Lat Krabang",0.00160439208108007,0
"Bangkok","Lat Phrao",0,0
"Bangkok","Min Buri",0,0
"Bangkok","Nong Chok",0,0
"Bangkok","Nong Khaem",0,0
"Bangkok","Pathum Wan",0,0
"Bangkok","Phasi Charoen",0,0
"Bangkok","Phaya Thai",0,0
"Bangkok","Phra Khanong",0,0
"Bangkok","Phra Nakhon",0.00160439208108007,0
"Bangkok","Pom Prap Sattru Phai",0,0
"Bangkok","Prawet",0,0
"Bangkok","Rat Burana",0,0
"Bangkok","Ratchathewi",0,0
"Bangkok","Sai Mai",0.00160439208108007,0
"Bangkok","Samphanthawong",0,0
"Bangkok","Saphan Sung",0.00160439208108007,0
"Bangkok","Sathon",0.00160439208108007,0
"Bangkok","Suan Luang",0,0
"Bangkok","Taling Chan",0,0
"Bangkok","Thawi Watthana",0,0
